s,real,imag
0,-7.0,9.0
1,-7.0,11.0
2,-1.0,9.0
3,-1.0,11.0
4,-7.0,-9.0
5,-7.0,-11.0
6,-1.0,-9.0
7,-1.0,-11.0
8,-5.0,9.0
9,-5.0,11.0
10,-3.0,9.0
11,-3.0,11.0
12,-5.0,-9.0
13,-5.0,-11.0
14,-3.0,-9.0
15,-3.0,-11.0
16,-9.0,7.0
17,-9.0,5.0
18,-9.0,1.0
19,-9.0,3.0
20,-9.0,-7.0
21,-9.0,-5.0
22,-9.0,-1.0
23,-9.0,-3.0
24,-11.0,7.0
25,-11.0,5.0
26,-11.0,1.0
27,-11.0,3.0
28,-11.0,-7.0
29,-11.0,-5.0
30,-11.0,-1.0
31,-11.0,-3.0
32,-1.0,7.0
33,-1.0,5.0
34,-1.0,1.0
35,-1.0,3.0
36,-1.0,-7.0
37,-1.0,-5.0
38,-1.0,-1.0
39,-1.0,-3.0
40,-3.0,7.0
41,-3.0,5.0
42,-3.0,1.0
43,-3.0,3.0
44,-3.0,-7.0
45,-3.0,-5.0
46,-3.0,-1.0
47,-3.0,-3.0
48,-7.0,7.0
49,-7.0,5.0
50,-7.0,1.0
51,-7.0,3.0
52,-7.0,-7.0
53,-7.0,-5.0
54,-7.0,-1.0
55,-7.0,-3.0
56,-5.0,7.0
57,-5.0,5.0
58,-5.0,1.0
59,-5.0,3.0
60,-5.0,-7.0
61,-5.0,-5.0
62,-5.0,-1.0
63,-5.0,-3.0
64,7.0,9.0
65,7.0,11.0
66,1.0,9.0
67,1.0,11.0
68,7.0,-9.0
69,7.0,-11.0
70,1.0,-9.0
71,1.0,-11.0
72,5.0,9.0
73,5.0,11.0
74,3.0,9.0
75,3.0,11.0
76,5.0,-9.0
77,5.0,-11.0
78,3.0,-9.0
79,3.0,-11.0
80,9.0,7.0
81,9.0,5.0
82,9.0,1.0
83,9.0,3.0
84,9.0,-7.0
85,9.0,-5.0
86,9.0,-1.0
87,9.0,-3.0
88,11.0,7.0
89,11.0,5.0
90,11.0,1.0
91,11.0,3.0
92,11.0,-7.0
93,11.0,-5.0
94,11.0,-1.0
95,11.0,-3.0
96,1.0,7.0
97,1.0,5.0
98,1.0,1.0
99,1.0,3.0
100,1.0,-7.0
101,1.0,-5.0
102,1.0,-1.0
103,1.0,-3.0
104,3.0,7.0
105,3.0,5.0
106,3.0,1.0
107,3.0,3.0
108,3.0,-7.0
109,3.0,-5.0
110,3.0,-1.0
111,3.0,-3.0
112,7.0,7.0
113,7.0,5.0
114,7.0,1.0
115,7.0,3.0
116,7.0,-7.0
117,7.0,-5.0
118,7.0,-1.0
119,7.0,-3.0
120,5.0,7.0
121,5.0,5.0
122,5.0,1.0
123,5.0,3.0
124,5.0,-7.0
125,5.0,-5.0
126,5.0,-1.0
127,5.0,-3.0
